"ID";"B_SATS_Gefuehl";"B_SATS_Kompetenz";"B_SATS_Wert";"B_SATS_Schwierigkeit";"B_SATS_Interesse";"B_SATS_Aufwand";"C1_Mathe";"C1_Schule";"C1_Hochschule";"C4_Notenerwartung";"D_BFI_E";"D_BFI_N";"D_BFI_O";"D_BFI_G";"D_BFI_V";"E_Action";"E_FantasySciFi";"E_Drama";"E_Horror";"E_Thriller";"E_Komoedie";"E_Liebe";"E_Erotik";"E_Animation";"E_Dokumentation";"F01_Pullover";"F02_Schuhe1";"F03_Schuhe2";"F04_Schuhe3";"F05_Zinsen";"F06_Preise";"F07_Aktien";"F08_Putzen";"F09_Kino";"F10_Tischtennis";"F11_Linda";"G01_Geschlecht";"G02_Alter";"G04_Studium";"G05_Zugangsberechtigung"
1381;3,7;4,5;5,5;3;7;7;5;6;6;1,7;3;3,5;3,5;5;4;"Nein";"Nein";"Ja";"Nein";"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Nein";"10 Cent.";NA;"weiblich";27;"Nein";"allgemeine Hochschulreife / Abitur"
1389;3;3,5;3,3;1,9;2,2;3;4;6;6;2;4,5;3,5;1,5;3;4;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Ja";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";21;"Nein";"allgemeine Hochschulreife / Abitur"
240;4;4,5;4,1;4,1;4,2;6,5;6;5;4;3;2,5;2,5;2;3;4;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Ja";"Es werden genauso viele Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Nein";"Hoeher als 105 Euro.";"Weniger.";"Stimme ganz und gar nicht zu.";"Es entstehen keine Kosten, da ich selbst putze.";NA;"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";31;"Nein";"allgemeine Hochschulreife / Abitur"
1376;2,7;5;5,7;2,7;5,8;6,5;1;4;2;3,7;4;2;1,5;1,5;2,5;"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";"5 Cent.";NA;"maennlich";26;"Nein";"Fachhochschulreife"
193;3;3,3;3,1;2,9;4,5;7;4;4;4;2,7;2,5;4,5;3;4,5;3,5;"Nein";"Nein";"Ja";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Weiss nicht.";"Ja";"10 Cent.";NA;"weiblich";25;"Nein";"allgemeine Hochschulreife / Abitur"
393;5,7;5,5;5,2;3,2;6,2;6,8;6;6;6;1,3;2;3,5;1;4;4,5;"Ja";"Ja";"Nein";"Nein";"Ja";"Ja";"Ja";"Ja";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";NA;"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";24;"Nein";"allgemeine Hochschulreife / Abitur"
160;4,7;5,8;5,2;4,4;4,8;4;6;5;4;3;4,5;2;4,5;2,5;3,5;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Ja";"Es werden genauso viele Pullover verkauft.";"Weiss nicht.";"Ja";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher nicht zu.";"Es entstehen keine Kosten, da ich selbst putze.";"Ja";"5 Cent.";"Linda ist Bankangestellte.";"maennlich";29;"Ja, ein Elternteil";"Fachhochschulreife"
1507;2,7;4,2;5,1;2,6;5,5;6;2;4;6;2;4,5;2;5;4;2,5;"Nein";"Nein";"Nein";"Ja";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden mehr Pullover verkauft.";"Wenn die Nachfrage nach Schuhen steigt.";"Nein";"Nein";"Hoeher als 105 Euro.";"Weniger.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";22;"Nein";"Fachhochschulreife"
259;1,7;4;4,8;2,4;4;6;5;3;5;3;3,5;3,5;4;3;3,5;"Ja";"Nein";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn die Nachfrage nach Schuhen steigt.";"Nein";"Ja";"Hoeher als 105 Euro.";"Weniger.";"Stimme eher nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";"5 Cent.";"Linda ist Bankangestellte.";NA;27;"Nein";"allgemeine Hochschulreife / Abitur"
497;3,2;4;2,8;2,7;3,5;6,2;6;6;5;2,7;5;3;2,5;5;3;"Ja";"Nein";"Nein";"Nein";"Ja";"Ja";"Ja";"Nein";"Ja";"Nein";"Es werden mehr Pullover verkauft.";"Wenn die Nachfrage nach Schuhen steigt.";"Nein";"Nein";"Hoeher als 105 Euro.";"Genauso viel.";"Weiss nicht.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Nein";"10 Cent.";NA;"weiblich";20;"Nein";"allgemeine Hochschulreife / Abitur"
1406;2,5;3,8;5,3;2;7;5,2;3;4;4;3,3;1;3;4;4;3,5;"Ja";"Ja";"Nein";"Ja";"Nein";"Ja";"Ja";"Nein";"Nein";"Ja";"Es werden genauso viele Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Nein";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher zu.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";33;"Nein";"fachgebundene Hochschulreife"
300;2,4;2,7;3,7;2,3;4,8;5,2;5;5;5;2,7;3;4,5;1,5;2;4;"Ja";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Es werden mehr Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";"Genau 105 Euro.";"Genauso viel.";NA;"Meine Kosten betragen 20 Euro.";"Nein";"1 Euro.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";28;"Nein";"allgemeine Hochschulreife / Abitur"
487;2,2;3;4,2;2,1;4,2;5;2;1;2;4;4,5;4,5;4;2,5;2,5;"Nein";"Nein";"Nein";"Nein";"Ja";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Nein";"Genau 105 Euro.";"Weniger.";"Stimme eher nicht zu.";NA;"Ja";NA;"Linda ist Bankangestellte.";"weiblich";29;"Nein";"allgemeine Hochschulreife / Abitur"
1489;4;2,8;4,5;1;7;6,2;4;6;NA;2;3,5;3;NA;5;4;"Ja";"Nein";"Ja";"Ja";"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";"Nein";"Genau 105 Euro.";"Genauso viel.";NA;"Es entstehen keine Kosten, da ich selbst putze.";"Ja";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";23;"Nein";"Fachhochschulreife"
324;4,2;5;5,3;3;5,8;7;5;7;6;2,7;1;3;2;4,5;2,5;"Ja";"Nein";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";"Genau 105 Euro.";"Genauso viel.";"Stimme eher nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";"Kann ich anhand der gegebenen Information nicht sagen.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";20;"Nein";"allgemeine Hochschulreife / Abitur"
1395;4,8;5;6,8;3,4;6,8;6;2;5;4;3;2;2,5;3,5;4;3;"Nein";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Ja";"Es werden genauso viele Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";NA;NA;"Hoeher als 105 Euro.";NA;NA;"Meine Kosten betragen 20 Euro.";"Nein";NA;NA;"weiblich";34;"Nein";"Fachhochschulreife"
275;5,8;4,5;5,3;3;7;6,8;4;5;6;2,7;1,5;1,5;3;3;4,5;"Ja";"Ja";"Nein";"Nein";"Ja";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden mehr Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Genau 105 Euro.";"Weniger.";"Weiss nicht.";"Es entstehen keine Kosten, da ich selbst putze.";"Ja";"5 Cent.";"Linda ist Bankangestellte.";"weiblich";22;"Nein";"allgemeine Hochschulreife / Abitur"
810;2,7;2,7;2,8;1,5;3,2;3,5;4;6;6;2;4,5;2;3,5;3,5;3;"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Ja";"Nein";"Ja";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Genau 105 Euro.";NA;"Weiss nicht.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";NA;"weiblich";23;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
566;2,4;2,4;4,3;1,1;5,8;7;2;6;6;3;4,5;3;2,5;4,5;4;"Nein";"Nein";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Nein";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Nein";"Kann ich anhand der gegebenen Information nicht sagen.";"Linda ist Bankangestellte.";"weiblich";23;"Nein";"allgemeine Hochschulreife / Abitur"
532;6;6,5;5,2;3,6;5,8;6,2;7;6;7;1,7;3,5;2;NA;5;3,5;"Nein";"Nein";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Ja";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";NA;"Nein";"10 Cent.";"Linda ist Bankangestellte.";"weiblich";23;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
394;2,5;3,2;3,7;2,1;3,8;6,2;4;4;4;3;4;2;3,5;1,5;2,5;"Ja";"Nein";"Ja";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Weiss nicht.";"Nein";"Nein";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";NA;"maennlich";23;"Nein";"allgemeine Hochschulreife / Abitur"
643;4,3;6;4,8;3,3;5;3,5;5;4;2;4;1,5;3;2;3;4;"Ja";"Nein";"Ja";"Ja";"Ja";"Ja";"Nein";"Ja";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";NA;"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";NA;22;"Nein";"allgemeine Hochschulreife / Abitur"
1475;2,8;3,3;4,2;2,3;5,8;7;4;5;6;2,7;4;3;2;5;3;"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";NA;"Weiss nicht.";"Meine Kosten betragen 20 Euro.";"Ja";"Kann ich anhand der gegebenen Information nicht sagen.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";27;"Nein";"allgemeine Hochschulreife / Abitur"
1413;4,8;5,8;3,8;3,7;3,5;6,2;6;5;7;3,3;5;2;2,5;4,5;2,5;"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Es werden genauso viele Pullover verkauft.";"Wenn die Nachfrage nach Schuhen steigt.";"Ja";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Nein";"10 Cent.";NA;"weiblich";24;"Ja, ein Elternteil";"Fachhochschulreife"
1462;6;5,8;4,8;4,1;5;5;6;3;6;1,7;5;2,5;2;3;3,5;"Nein";"Nein";"Ja";"Ja";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";NA;"maennlich";30;"Nein";"fachgebundene Hochschulreife"
1550;3,5;4,7;4,3;2,7;5,2;6;3;5;5;3;2,5;2,5;2,5;1,5;2;"Ja";"Nein";"Ja";"Ja";"Nein";"Ja";"Ja";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";"Ja";NA;"Genauso viel.";NA;NA;"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";27;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
389;3,7;3,5;3,4;3,1;4,5;7;2;5;5;4;2,5;3,5;4,5;4;3,5;"Ja";"Nein";"Ja";"Nein";"Ja";"Nein";"Nein";"Nein";"Ja";"Ja";"Es werden genauso viele Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";"Ja";"Genau 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";"5 Cent.";"Linda ist Bankangestellte.";"weiblich";27;"Nein";"Fachhochschulreife"
465;5,2;5,7;4,3;2,4;4,2;6,5;7;5;7;1,3;2,5;3;2,5;4;3,5;"Ja";"Nein";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";"Linda ist Bankangestellte.";"maennlich";27;"Nein";"allgemeine Hochschulreife / Abitur"
1491;1,5;2,3;3,1;1,6;4,2;6,2;2;4;4;4;3;3;2,5;3;4,5;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Nein";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";25;"Nein";"allgemeine Hochschulreife / Abitur"
408;1,8;2,8;5,9;2,4;5,2;6,8;2;6;5;3,7;3,5;3,5;2;3,5;3;"Ja";"Ja";"Ja";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";"Ja";"Genau 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";"Linda ist Bankangestellte.";"weiblich";25;"Nein";"Fachhochschulreife"
705;3,3;3,3;3;3,1;3,8;6,5;5;5;3;3,3;2,5;4,5;2,5;3,5;4;"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Ja";"Nein";"Ja";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Nein";"Hoeher als 105 Euro.";"Weniger.";"Stimme eher nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";"Kann ich anhand der gegebenen Information nicht sagen.";"Linda ist Bankangestellte.";"weiblich";21;"Nein";"allgemeine Hochschulreife / Abitur"
476;4;4;5,8;2,1;5;6;4;5;6;2,7;3;4,5;2,5;3,5;5;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Genau 105 Euro.";"Genauso viel.";"Stimme eher zu.";"Es entstehen keine Kosten, da ich selbst putze.";"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";21;"Nein";"allgemeine Hochschulreife / Abitur"
1398;5,5;7;6,3;3,2;7;6;7;6;6;1,7;4;2;4;4;3,5;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";28;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
176;3,2;3,2;3,7;3,4;4;7;5;6;6;2;1,5;5;3;3;2,5;"Ja";"Ja";"Ja";"Nein";"Ja";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";NA;"Genauso viel.";NA;"Meine Kosten betragen 20 Euro.";"Nein";"5 Cent.";NA;"weiblich";25;"Nein";"fachgebundene Hochschulreife"
453;3,5;4,7;4,6;3,9;6,2;5,8;4;6;5;2,7;2,5;3;4;4;2,5;"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden genauso viele Pullover verkauft.";"Wenn die Nachfrage nach Schuhen steigt.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher nicht zu.";"Es entstehen keine Kosten, da ich selbst putze.";"Ja";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";30;"Nein";"allgemeine Hochschulreife / Abitur"
189;5,3;6;5,2;3,7;5,5;6,8;5;5;5;NA;3;2;2,5;5;3,5;"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Nein";"Nein";"Ja";"Es werden genauso viele Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme voll und ganz zu.";"Meine Kosten betragen 20 Euro.";"Nein";"Kann ich anhand der gegebenen Information nicht sagen.";NA;"maennlich";NA;"Nein";"allgemeine Hochschulreife / Abitur"
1530;5;6,2;4,1;3,4;6,5;6,8;5;2;7;1,7;5;2,5;2,5;2,5;3,5;"Ja";"Ja";"Ja";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme voll und ganz zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";"Linda ist Bankangestellte.";"maennlich";32;"Nein";"Fachhochschulreife"
230;2,2;4;5,9;1,7;6,2;6,5;1;5;6;3,3;4,5;4;4,5;3,5;2;"Ja";"Nein";"Ja";"Nein";"Ja";"Nein";"Nein";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";28;"Nein";"Fachhochschulreife"
306;5,5;5,5;5,6;3,9;5,2;5,8;6;6;5;2,7;3,5;2;2,5;3;3;"Ja";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Es werden genauso viele Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Ja";NA;"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";NA;"Kann ich anhand der gegebenen Information nicht sagen.";"Linda ist Bankangestellte.";"maennlich";31;"Nein";"Fachhochschulreife"
243;6,7;6,3;6,8;4,3;7;6,2;3;6;6;2;2,5;3,5;4,5;1;2,5;"Nein";"Nein";"Ja";"Nein";"Ja";"Nein";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Nein";"Niedriger als 105 Euro.";"Weniger.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"weiblich";35;"Nein";"allgemeine Hochschulreife / Abitur"
321;4;4,7;5;2,3;5,8;6,8;6;6;6;2,3;2,5;3;2,5;4,5;4,5;"Nein";"Nein";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Ja";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Nein";"5 Cent.";NA;"weiblich";22;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
334;2;4,2;5,3;3,1;4,5;6,8;3;6;5;3;2,5;3,5;2;4;2,5;"Ja";"Nein";"Nein";"Nein";"Ja";"Ja";"Ja";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";"Genau 105 Euro.";"Weniger.";"Stimme eher nicht zu.";"Es entstehen keine Kosten, da ich selbst putze.";"Ja";"5 Cent.";"Linda ist Bankangestellte.";"weiblich";22;"Ja, beide";"allgemeine Hochschulreife / Abitur"
445;5;6;5,2;4;6,2;7;4;3;5;2;5;3;2,5;5;3;"Ja";"Ja";"Ja";"Nein";"Ja";"Nein";"Nein";"Nein";"Ja";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Genau 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";NA;"maennlich";23;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
427;3,8;5,5;4;2,4;6,5;7;6;6;6;1,7;4;2;3,5;3,5;2;"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Nein";"Nein";"Nein";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Ja";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Es entstehen keine Kosten, da ich selbst putze.";"Nein";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";23;"Nein";"Fachhochschulreife"
1480;6,2;5,8;6,9;3,3;7;6,2;5;5;4;3;4,5;3;3;4,5;4;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Ja";"Nein";"Ja";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";NA;"Hoeher als 105 Euro.";NA;"Stimme eher zu.";"Meine Kosten betragen 20 Euro.";"Nein";"5 Cent.";NA;"maennlich";23;"Nein";"allgemeine Hochschulreife / Abitur"
260;2,7;2,5;4,4;3;3,5;5,2;1;6;5;3,7;4;2;3;3,5;2,5;"Ja";"Ja";"Ja";"Ja";"Ja";"Nein";"Ja";"Nein";"Nein";"Ja";"Es werden genauso viele Pullover verkauft.";"Wenn das Angebot an Schuhen steigt.";"Nein";"Ja";"Niedriger als 105 Euro.";"Weniger.";"Stimme eher nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"10 Cent.";"Linda ist Bankangestellte.";"weiblich";29;"Nein";"Fachhochschulreife"
235;5;4,8;5,9;3,9;5,5;4,5;2;5;4;2,7;2;3;3;3,5;3;"Ja";"Nein";"Ja";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Ja";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";"Ja";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";21;"Nein";"allgemeine Hochschulreife / Abitur"
760;5,5;5,5;4;3,6;4,8;6,2;5;4;6;2;3,5;2;4;4;3;"Ja";"Ja";"Nein";"Nein";"Nein";"Ja";"Nein";"Nein";"Ja";"Nein";"Es werden weniger Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Ja";"Genau 105 Euro.";"Weniger.";"Stimme ganz und gar nicht zu.";"Meine Kosten betragen 20 Euro.";NA;"10 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";24;"Nein";"allgemeine Hochschulreife / Abitur"
982;3,3;5,3;3,2;3,1;5,5;5;5;4;5;2,3;2,5;3,5;1;3;5;"Ja";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Ja";"Es werden genauso viele Pullover verkauft.";"Wenn das Angebot an Schuhen zurueckgeht.";"Nein";"Nein";"Hoeher als 105 Euro.";"Genauso viel.";"Stimme eher zu.";"Meine Kosten betragen 50 Euro. Dies entspricht der Summe, die ich in derselben Zeit verdienen koennte.";"Nein";"5 Cent.";"Linda ist Bankangestellte und in der Frauenbewegung aktiv.";"maennlich";21;"Ja, ein Elternteil";"allgemeine Hochschulreife / Abitur"
