"Preis";"Wohnflaeche";"Alter";"Klimaanlage";"Kamin";"Heizung"
154000;109,810479375697;49;"Ja";"Nein";"Oel"
199000;175,585284280936;48;"Ja";"Ja";"Oel"
202000;180,602006688963;12;"Nein";"Ja";"Oel"
292000;261,519881085099;6;"Nein";"Ja";"Gas"
116600;96,6183574879227;11;"Nein";"Ja";"Strom"
155000;152,173913043478;25;"Nein";"Nein";"Oel"
215000;204,942400594575;13;"Nein";"Ja";"Gas"
373490;294,500185804534;0;"Nein";"Ja";"Gas"
259142;216,276477146042;0;"Ja";"Ja";"Gas"
293565;254,273504273504;0;"Nein";"Ja";"Gas"
285558;267,465626161278;0;"Nein";"Nein";"Gas"
273960;200,48309178744;1;"Ja";"Ja";"Gas"
185000;124,117428465255;11;"Ja";"Ja";"Gas"
190000;148,086213303605;4;"Nein";"Nein";"Gas"
171000;148,922333704942;11;"Ja";"Nein";"Gas"
208000;203,45596432553;11;"Ja";"Nein";"Gas"
168000;137,309550353029;10;"Ja";"Ja";"Gas"
165000;125,232255667038;10;"Ja";"Nein";"Gas"
138500;144,741731698253;36;"Ja";"Ja";"Gas"
179900;146,228167967298;13;"Nein";"Ja";"Gas"
180000;149,75845410628;13;"Ja";"Nein";"Gas"
112000;112,969156447417;129;"Nein";"Nein";"Gas"
152000;209,58751393534;124;"Ja";"Nein";"Gas"
100000;108,695652173913;28;"Nein";"Ja";"Oel"
154000;135,265700483092;29;"Nein";"Nein";"Oel"
133000;122,63099219621;29;"Nein";"Nein";"Strom"
285000;192,865105908584;14;"Ja";"Ja";"Gas"
138000;123,188405797101;22;"Nein";"Nein";"Strom"
303000;208,101077666295;20;"Nein";"Ja";"Strom"
250000;195,094760312152;19;"Ja";"Ja";"Gas"
167500;104,886659234485;27;"Nein";"Nein";"Oel"
190000;213,303604607952;19;"Ja";"Ja";"Gas"
182500;137,030843552583;20;"Nein";"Ja";"Gas"
107000;117,800074321813;20;"Nein";"Ja";"Gas"
195000;168,710516536604;15;"Nein";"Ja";"Gas"
169000;151,616499442586;30;"Nein";"Ja";"Gas"
156000;116,499442586399;11;"Nein";"Nein";"Gas"
120000;118,171683389075;30;"Nein";"Nein";"Gas"
170000;149,015235971758;29;"Ja";"Nein";"Gas"
249835;229,840208101078;0;"Ja";"Ja";"Gas"
188095;191,099962839093;0;"Ja";"Ja";"Gas"
176450;172,054998141955;6;"Ja";"Nein";"Strom"
322277;208,286882199926;1;"Ja";"Nein";"Gas"
149000;145,299145299145;32;"Nein";"Ja";"Gas"
95000;89,1861761426979;24;"Nein";"Nein";"Strom"
198500;156,075808249721;63;"Ja";"Nein";"Gas"
185000;132,664437012263;3;"Ja";"Ja";"Gas"
168900;155,332590115199;0;"Ja";"Nein";"Gas"
220000;212,188777406169;29;"Ja";"Ja";"Gas"
129900;119,472315124489;31;"Ja";"Ja";"Gas"
167000;116,127833519138;53;"Nein";"Nein";"Gas"
330000;176,142697881828;113;"Nein";"Nein";"Oel"
336000;240,802675585284;1;"Ja";"Nein";"Gas"
512971;176,885916016351;0;"Ja";"Ja";"Gas"
229000;156,075808249721;3;"Ja";"Nein";"Gas"
145000;107,023411371237;38;"Nein";"Ja";"Gas"
103000;119,84392419175;16;"Ja";"Ja";"Strom"
210000;222,593831289483;93;"Nein";"Ja";"Gas"
559000;287,068004459309;55;"Ja";"Ja";"Gas"
218000;132,664437012263;142;"Nein";"Nein";"Oel"
262138;151,523597175771;0;"Ja";"Ja";"Gas"
125000;127,090301003344;33;"Nein";"Nein";"Gas"
130000;105,351170568562;36;"Nein";"Nein";"Gas"
157500;157,655146785582;27;"Ja";"Ja";"Gas"
193000;154,775176514307;6;"Ja";"Ja";"Gas"
275000;161,464139725009;78;"Ja";"Ja";"Oel"
240000;135,358602749907;103;"Nein";"Nein";"Gas"
200136;151,616499442586;0;"Ja";"Ja";"Gas"
395000;203,084355258268;12;"Ja";"Nein";"Gas"
366703;196,674098848012;0;"Ja";"Ja";"Strom"
103150;86,9565217391304;32;"Nein";"Ja";"Gas"
310000;310,943887030844;169;"Nein";"Ja";"Gas"
142900;169,453734671126;32;"Ja";"Ja";"Gas"
359770;240,802675585284;1;"Ja";"Nein";"Gas"
126000;100,334448160535;64;"Nein";"Nein";"Oel"
760000;292,456335934597;2;"Ja";"Nein";"Gas"
282500;197,69602378298;150;"Nein";"Ja";"Gas"
132000;150,130063173541;18;"Nein";"Nein";"Gas"
325000;307,785209959123;5;"Ja";"Ja";"Gas"
207000;216,183574879227;25;"Nein";"Ja";"Gas"
155000;152,359717577109;32;"Ja";"Ja";"Gas"
330000;132,014121144556;73;"Nein";"Nein";"Gas"
101760;118,914901523597;103;"Nein";"Ja";"Gas"
496000;322,092159048681;3;"Ja";"Ja";"Gas"
185000;116,127833519138;83;"Nein";"Nein";"Gas"
125000;127,090301003344;33;"Nein";"Nein";"Gas"
286000;129,691564474173;1;"Nein";"Nein";"Gas"
269000;186,176142697882;15;"Ja";"Ja";"Gas"
303374;208,286882199926;1;"Ja";"Nein";"Gas"
371165;258,825715347454;0;"Nein";"Ja";"Gas"
287600;208,286882199926;0;"Ja";"Nein";"Gas"
131000;130,434782608696;33;"Nein";"Nein";"Gas"
187000;148,643626904496;25;"Ja";"Ja";"Gas"
169000;130,806391675957;103;"Nein";"Nein";"Gas"
133500;90,3010033444816;37;"Nein";"Nein";"Gas"
620000;451,133407655147;14;"Ja";"Ja";"Oel"
549254;268,02303976217;0;"Ja";"Ja";"Gas"
280000;144,927536231884;82;"Nein";"Nein";"Gas"
135000;136,752136752137;33;"Nein";"Nein";"Gas"
195388;197,324414715719;0;"Ja";"Ja";"Gas"
337020;200,854700854701;1;"Ja";"Ja";"Gas"
330850;233,649201040505;0;"Nein";"Ja";"Gas"
248495;213,117800074322;0;"Ja";"Ja";"Gas"
120000;162,021553325901;123;"Nein";"Nein";"Gas"
240000;187,848383500557;0;"Ja";"Ja";"Gas"
235000;146,59977703456;34;"Ja";"Nein";"Gas"
500075;315,867707172055;0;"Ja";"Nein";"Gas"
240000;162,021553325901;13;"Ja";"Ja";"Gas"
270000;237,829803047194;0;"Ja";"Ja";"Gas"
225000;129,877369007804;51;"Ja";"Nein";"Gas"
280000;231,698253437384;0;"Ja";"Nein";"Gas"
225000;205,128205128205;27;"Ja";"Ja";"Gas"
248220;236,900780379041;0;"Ja";"Ja";"Gas"
275000;168,338907469342;16;"Ja";"Ja";"Gas"
137000;119,84392419175;50;"Nein";"Nein";"Gas"
150000;108,881456707544;16;"Nein";"Nein";"Gas"
649000;383,500557413601;10;"Ja";"Ja";"Gas"
195000;168,710516536604;17;"Ja";"Ja";"Strom"
373200;244,147157190635;4;"Nein";"Ja";"Gas"
169450;116,499442586399;0;"Ja";"Ja";"Gas"
144200;154,217762913415;113;"Nein";"Ja";"Gas"
189900;171,869193608324;43;"Nein";"Ja";"Gas"
166000;116,87105165366;0;"Ja";"Nein";"Gas"
160000;113,247863247863;0;"Ja";"Nein";"Gas"
327355;171,869193608324;14;"Ja";"Ja";"Gas"
247000;195,373467112598;9;"Nein";"Nein";"Gas"
318000;167,78149386845;3;"Ja";"Ja";"Gas"
341000;155,518394648829;52;"Nein";"Ja";"Gas"
288650;208,286882199926;0;"Ja";"Nein";"Gas"
157000;130,806391675957;103;"Nein";"Nein";"Gas"
449000;321,163136380528;20;"Ja";"Ja";"Strom"
142000;160,535117056856;28;"Nein";"Nein";"Gas"
389000;218,69193608324;16;"Ja";"Ja";"Strom"
476000;208,658491267187;4;"Ja";"Ja";"Gas"
249230;176,70011148272;0;"Ja";"Ja";"Gas"
139900;109,438870308436;30;"Nein";"Nein";"Gas"
301900;269,044964697139;0;"Ja";"Ja";"Gas"
425000;228,260869565217;24;"Ja";"Ja";"Gas"
121000;86,9565217391304;32;"Nein";"Nein";"Gas"
150000;86,7707172054998;123;"Nein";"Nein";"Gas"
138000;118,821999256782;30;"Nein";"Ja";"Gas"
199900;175,399479747306;6;"Nein";"Nein";"Gas"
145000;156,633221850613;33;"Nein";"Ja";"Gas"
465000;214,604236343367;22;"Ja";"Ja";"Gas"
158000;111,482720178372;1;"Ja";"Nein";"Gas"
375000;180,602006688963;50;"Ja";"Ja";"Gas"
147783;109,996283909327;51;"Nein";"Nein";"Strom"
339000;185,804533630621;3;"Ja";"Ja";"Gas"
267000;162,021553325901;14;"Ja";"Ja";"Gas"
290000;150,501672240803;3;"Ja";"Ja";"Gas"
271295;219,156447417317;1;"Ja";"Nein";"Gas"
278140;207,172054998142;1;"Ja";"Nein";"Gas"
138000;106,558900037161;94;"Nein";"Nein";"Gas"
367500;204,849498327759;2;"Ja";"Ja";"Gas"
428500;301,282051282051;4;"Ja";"Nein";"Gas"
140000;132,943143812709;34;"Nein";"Nein";"Gas"
140000;86,9565217391304;35;"Nein";"Nein";"Gas"
145000;127,090301003344;33;"Ja";"Nein";"Gas"
280000;167,224080267559;16;"Ja";"Ja";"Strom"
190400;178,372352285396;16;"Nein";"Ja";"Gas"
267000;131,549609810479;83;"Nein";"Nein";"Gas"
164900;57,2277963582311;77;"Nein";"Nein";"Gas"
280000;138,238573021182;79;"Nein";"Nein";"Gas"
225000;122,63099219621;84;"Nein";"Ja";"Oel"
148000;116,127833519138;18;"Ja";"Nein";"Gas"
165000;119,472315124489;32;"Ja";"Ja";"Gas"
340455;268,115942028986;0;"Ja";"Ja";"Gas"
133000;118,821999256782;36;"Nein";"Ja";"Gas"
115540;99,7770345596433;104;"Nein";"Nein";"Gas"
240000;121,144555927165;52;"Nein";"Ja";"Gas"
600000;296,451133407655;17;"Ja";"Ja";"Gas"
71500;98,1047937569677;44;"Nein";"Nein";"Gas"
189900;136,380527684876;18;"Ja";"Ja";"Gas"
325000;148,457822370866;115;"Nein";"Nein";"Gas"
280000;107,76662950576;84;"Nein";"Nein";"Gas"
255000;95,503530286139;104;"Nein";"Nein";"Gas"
300000;187,105165366035;104;"Nein";"Nein";"Gas"
106000;120,401337792642;34;"Nein";"Nein";"Gas"
139000;86,5849126718692;56;"Nein";"Nein";"Gas"
165000;119,84392419175;15;"Nein";"Ja";"Gas"
169000;134,522482348569;19;"Nein";"Nein";"Gas"
159400;127,090301003344;29;"Nein";"Nein";"Gas"
300000;282,980304719435;25;"Nein";"Ja";"Gas"
161000;118,171683389075;32;"Nein";"Nein";"Gas"
230500;169,267930137495;18;"Ja";"Nein";"Gas"
220000;146,692679301375;31;"Ja";"Nein";"Gas"
177900;154,217762913415;32;"Nein";"Ja";"Gas"
350000;227,796358231141;36;"Nein";"Ja";"Oel"
335000;186,176142697882;94;"Ja";"Nein";"Gas"
597185;391,118543292456;0;"Ja";"Ja";"Gas"
173000;152,359717577109;32;"Ja";"Nein";"Gas"
518000;264,492753623188;144;"Nein";"Ja";"Gas"
212000;168,710516536604;18;"Ja";"Ja";"Gas"
149900;188,405797101449;19;"Nein";"Nein";"Oel"
140958;71,9992567818655;40;"Nein";"Nein";"Gas"
95000;127,090301003344;34;"Nein";"Nein";"Gas"
161600;86,9565217391304;34;"Nein";"Nein";"Gas"
351400;156,075808249721;1;"Ja";"Ja";"Gas"
155000;127,090301003344;33;"Nein";"Nein";"Gas"
198500;123,188405797101;34;"Ja";"Ja";"Gas"
276000;146,692679301375;62;"Ja";"Ja";"Oel"
167000;119,472315124489;32;"Nein";"Nein";"Gas"
227000;198,067632850242;25;"Ja";"Ja";"Gas"
405100;185,804533630621;3;"Ja";"Ja";"Gas"
395000;206,428836863619;3;"Ja";"Nein";"Gas"
360000;245,354886659234;99;"Nein";"Nein";"Gas"
775000;229,654403567447;5;"Ja";"Ja";"Gas"
285000;178,929765886288;16;"Ja";"Ja";"Strom"
300000;142,512077294686;4;"Ja";"Nein";"Gas"
214000;138,424377554812;39;"Nein";"Nein";"Gas"
229000;104,607952434039;46;"Nein";"Ja";"Gas"
330000;133,31475287997;33;"Ja";"Nein";"Gas"
146000;105,536975102192;44;"Nein";"Nein";"Gas"
381500;200,854700854701;2;"Ja";"Ja";"Gas"
430000;216,276477146042;5;"Ja";"Ja";"Gas"
650000;255,852842809365;2;"Ja";"Ja";"Gas"
194500;139,725009290227;40;"Nein";"Nein";"Gas"
279000;229,747305834262;14;"Ja";"Ja";"Gas"
183000;192,493496841323;35;"Nein";"Ja";"Gas"
195000;137,495354886659;18;"Ja";"Ja";"Gas"
470000;194,72315124489;135;"Nein";"Ja";"Gas"
167000;97,5473801560758;80;"Nein";"Nein";"Gas"
309278;153,288740245262;17;"Ja";"Ja";"Gas"
217500;148,272017837235;26;"Ja";"Nein";"Gas"
200000;90,9513192121888;44;"Nein";"Nein";"Gas"
199995;129,412857673727;18;"Ja";"Nein";"Gas"
179000;80,2675585284281;44;"Nein";"Nein";"Gas"
329000;254,923820141211;1;"Ja";"Nein";"Gas"
374900;213,675213675214;15;"Ja";"Ja";"Gas"
165000;149,75845410628;34;"Nein";"Ja";"Gas"
647000;245,261984392419;14;"Ja";"Ja";"Gas"
315000;71,9992567818655;19;"Nein";"Nein";"Oel"
208000;229,468599033816;26;"Ja";"Ja";"Gas"
405000;290,226681531029;6;"Nein";"Ja";"Gas"
535000;302,30397621702;14;"Ja";"Ja";"Gas"
184020;143,441099962839;34;"Nein";"Nein";"Gas"
95000;130,992196209588;139;"Nein";"Nein";"Gas"
87550;84,1694537346711;44;"Nein";"Nein";"Gas"
131000;140,468227424749;66;"Nein";"Ja";"Gas"
127000;114,455592716462;77;"Nein";"Ja";"Gas"
104695;85,5629877369008;54;"Nein";"Nein";"Gas"
120000;119,565217391304;70;"Nein";"Nein";"Gas"
278500;241,545893719807;17;"Nein";"Nein";"Strom"
75500;120,958751393534;124;"Nein";"Nein";"Gas"
121900;106,280193236715;20;"Nein";"Nein";"Gas"
208000;158,212560386473;39;"Nein";"Nein";"Gas"
151000;144,277220364177;15;"Nein";"Ja";"Strom"
138000;96,6183574879227;15;"Nein";"Nein";"Strom"
229000;197,324414715719;11;"Nein";"Nein";"Gas"
130000;124,860646599777;13;"Nein";"Nein";"Gas"
89900;82,1256038647343;66;"Nein";"Nein";"Gas"
145000;168,338907469342;11;"Nein";"Nein";"Oel"
86000;81,7539947974731;43;"Nein";"Nein";"Gas"
95000;116,68524712003;134;"Nein";"Nein";"Gas"
195000;169,639539204757;15;"Ja";"Ja";"Gas"
107325;105,351170568562;126;"Nein";"Nein";"Gas"
131000;178,000743218135;41;"Nein";"Ja";"Gas"
166900;118,171683389075;3;"Nein";"Nein";"Gas"
127000;89,1861761426979;39;"Ja";"Nein";"Gas"
119000;107,023411371237;65;"Nein";"Nein";"Gas"
92509;78,0379041248606;13;"Nein";"Nein";"Gas"
174000;195,652173913043;34;"Nein";"Nein";"Gas"
180000;151,616499442586;10;"Nein";"Nein";"Gas"
155000;101,449275362319;9;"Nein";"Nein";"Gas"
146500;151,802303976217;25;"Ja";"Ja";"Gas"
162500;175,585284280936;26;"Ja";"Ja";"Gas"
210000;206,61464139725;32;"Nein";"Ja";"Gas"
165000;137,030843552583;22;"Nein";"Ja";"Strom"
123000;137,495354886659;16;"Nein";"Ja";"Gas"
150000;127,090301003344;36;"Nein";"Ja";"Gas"
128900;111,482720178372;7;"Nein";"Nein";"Gas"
88100;78,0379041248606;0;"Ja";"Nein";"Gas"
175000;109,253065774805;54;"Nein";"Nein";"Oel"
120975;128,205128205128;0;"Nein";"Nein";"Gas"
147543;165,923448532144;0;"Nein";"Nein";"Gas"
118000;137,495354886659;17;"Nein";"Nein";"Gas"
199000;146,228167967298;13;"Nein";"Ja";"Gas"
79900;88,2571534745448;154;"Nein";"Nein";"Oel"
279000;295,243403939056;14;"Ja";"Ja";"Gas"
90000;124,674842066146;16;"Nein";"Nein";"Gas"
91900;124,117428465255;20;"Ja";"Ja";"Strom"
153000;143,255295429208;10;"Nein";"Nein";"Gas"
170000;211,073950204385;11;"Nein";"Ja";"Oel"
145200;137,495354886659;15;"Nein";"Ja";"Gas"
296000;232,813080639168;8;"Nein";"Ja";"Gas"
150000;172,054998141955;1;"Nein";"Nein";"Oel"
86000;98,0118914901524;19;"Nein";"Ja";"Gas"
118000;129,319955406912;21;"Nein";"Nein";"Gas"
155000;149,386845039019;53;"Nein";"Ja";"Oel"
222500;145,299145299145;15;"Nein";"Ja";"Gas"
250000;192,121887774062;17;"Ja";"Ja";"Gas"
365000;233,742103307321;13;"Ja";"Nein";"Oel"
120000;156,447417316983;14;"Nein";"Nein";"Strom"
193000;137,588257153475;18;"Nein";"Nein";"Gas"
85568;92,809364548495;67;"Nein";"Nein";"Oel"
82000;83,240431066518;17;"Nein";"Nein";"Oel"
225000;73,5785953177258;50;"Nein";"Ja";"Oel"
240000;255,202526941657;34;"Nein";"Ja";"Oel"
234900;211,538461538462;1;"Ja";"Nein";"Gas"
112000;119,007803790412;19;"Ja";"Ja";"Gas"
261000;228,725380899294;14;"Ja";"Ja";"Gas"
400000;269,137866963954;9;"Ja";"Ja";"Gas"
310000;248,234856930509;4;"Ja";"Ja";"Strom"
182000;179,48717948718;21;"Nein";"Nein";"Gas"
187500;122,63099219621;11;"Nein";"Nein";"Gas"
405000;306,205871423263;6;"Ja";"Ja";"Gas"
420000;304,626532887402;6;"Ja";"Ja";"Gas"
359000;297,658862876254;4;"Ja";"Ja";"Gas"
120000;113,062058714233;16;"Ja";"Nein";"Strom"
171500;165,551839464883;37;"Nein";"Ja";"Gas"
159900;109,624674842066;16;"Ja";"Ja";"Gas"
186500;134,894091415831;16;"Ja";"Ja";"Strom"
260000;198,810850984764;13;"Ja";"Ja";"Gas"
115000;113,247863247863;16;"Ja";"Nein";"Strom"
191000;141,025641025641;39;"Nein";"Ja";"Gas"
355465;309,178743961353;0;"Ja";"Ja";"Gas"
339900;217,762913415087;10;"Ja";"Nein";"Gas"
90000;89,1861761426979;74;"Nein";"Nein";"Gas"
245000;143,441099962839;6;"Nein";"Nein";"Gas"
320900;266,908212560387;7;"Ja";"Ja";"Gas"
159000;109,624674842066;18;"Ja";"Ja";"Gas"
174900;127,090301003344;38;"Nein";"Nein";"Gas"
293500;176,885916016351;10;"Ja";"Ja";"Gas"
210000;122,63099219621;11;"Nein";"Nein";"Gas"
182500;148,086213303605;34;"Nein";"Ja";"Gas"
219900;171,590486807878;8;"Ja";"Ja";"Gas"
370000;290,319583797845;1;"Ja";"Ja";"Gas"
286000;186,176142697882;7;"Nein";"Ja";"Gas"
169900;150,780379041249;36;"Ja";"Ja";"Gas"
161000;104,050538833148;40;"Nein";"Nein";"Oel"
287000;219,528056484578;2;"Ja";"Ja";"Gas"
315000;238,944630248978;9;"Nein";"Ja";"Gas"
177000;143,8127090301;25;"Nein";"Nein";"Strom"
332000;253,994797473058;11;"Ja";"Nein";"Gas"
249000;135,823114083984;8;"Ja";"Ja";"Gas"
179000;144,741731698253;15;"Nein";"Nein";"Gas"
150000;154,589371980676;34;"Nein";"Nein";"Oel"
225000;174,377554812337;16;"Nein";"Ja";"Gas"
182000;170,75436640654;37;"Nein";"Ja";"Gas"
329900;219,992567818655;9;"Ja";"Ja";"Gas"
165000;195,466369379413;32;"Nein";"Ja";"Gas"
180000;109,624674842066;16;"Nein";"Nein";"Gas"
321000;222,872538089929;11;"Ja";"Ja";"Gas"
180000;114,455592716462;15;"Nein";"Ja";"Gas"
178000;109,624674842066;17;"Ja";"Nein";"Gas"
279900;187,848383500557;2;"Nein";"Ja";"Gas"
179000;126,718691936083;19;"Ja";"Ja";"Gas"
183000;124,767744332962;17;"Ja";"Ja";"Gas"
500000;138,610182088443;70;"Nein";"Nein";"Oel"
170000;92,809364548495;37;"Nein";"Ja";"Gas"
179000;195,280564845782;24;"Nein";"Ja";"Gas"
184900;153,846153846154;18;"Nein";"Ja";"Gas"
177500;145,020438498699;18;"Nein";"Nein";"Strom"
112500;91,7874396135266;19;"Nein";"Nein";"Strom"
180000;163,972500929023;17;"Nein";"Ja";"Gas"
10300;84,726867335563;20;"Nein";"Ja";"Strom"
137900;147,900408769974;17;"Nein";"Nein";"Strom"
144000;124,860646599777;54;"Nein";"Nein";"Strom"
131600;128,669639539205;17;"Nein";"Ja";"Strom"
123500;128,669639539205;17;"Nein";"Nein";"Strom"
123000;155,982905982906;17;"Nein";"Nein";"Strom"
109000;84,3552582683018;20;"Nein";"Nein";"Strom"
173000;141,861761426979;16;"Ja";"Ja";"Gas"
105000;84,726867335563;20;"Nein";"Nein";"Strom"
122500;109,996283909327;18;"Nein";"Nein";"Strom"
191000;159,698996655518;26;"Nein";"Ja";"Strom"
149000;100,334448160535;19;"Nein";"Ja";"Strom"
205000;196,767001114827;16;"Nein";"Ja";"Strom"
225000;234,764028242289;16;"Nein";"Nein";"Strom"
210000;147,900408769974;15;"Nein";"Ja";"Gas"
188900;120,215533259012;18;"Nein";"Nein";"Strom"
192000;183,389074693423;33;"Nein";"Ja";"Gas"
137500;91,7874396135266;17;"Nein";"Ja";"Strom"
200000;140,096618357488;20;"Nein";"Ja";"Gas"
126000;84,3552582683018;17;"Nein";"Nein";"Strom"
214500;177,443329617243;20;"Nein";"Ja";"Strom"
152000;84,726867335563;18;"Nein";"Nein";"Strom"
115000;84,726867335563;20;"Nein";"Nein";"Strom"
88000;91,7874396135266;19;"Nein";"Nein";"Strom"
170000;162,393162393162;20;"Nein";"Nein";"Strom"
137000;84,726867335563;18;"Nein";"Ja";"Strom"
145000;128,669639539205;17;"Nein";"Nein";"Strom"
202000;120,772946859903;15;"Nein";"Nein";"Gas"
130000;84,3552582683018;17;"Nein";"Nein";"Strom"
265000;176,51430694909;25;"Nein";"Nein";"Strom"
185000;203,548866592345;16;"Nein";"Ja";"Strom"
130000;100,334448160535;25;"Ja";"Ja";"Gas"
190000;120,772946859903;15;"Ja";"Ja";"Gas"
204000;228,353771832033;1;"Nein";"Ja";"Gas"
125000;96,6183574879227;22;"Nein";"Nein";"Strom"
349900;268,115942028986;0;"Nein";"Ja";"Gas"
142000;170,940170940171;8;"Nein";"Nein";"Gas"
132500;184,689706428837;19;"Nein";"Nein";"Strom"
220000;62,4303232998885;43;"Nein";"Nein";"Oel"
160000;140,468227424749;13;"Nein";"Nein";"Oel"
10300;84,726867335563;20;"Nein";"Ja";"Strom"
95000;84,726867335563;19;"Nein";"Nein";"Strom"
122055;128,669639539205;17;"Nein";"Nein";"Strom"
149000;140,096618357488;18;"Nein";"Ja";"Gas"
115000;128,669639539205;17;"Nein";"Nein";"Strom"
140000;151,244890375325;19;"Nein";"Nein";"Strom"
137900;147,900408769974;17;"Nein";"Nein";"Strom"
144000;124,860646599777;54;"Nein";"Nein";"Strom"
131600;128,669639539205;17;"Nein";"Ja";"Strom"
123500;128,669639539205;17;"Nein";"Nein";"Strom"
123000;155,982905982906;17;"Nein";"Nein";"Strom"
109000;84,3552582683018;20;"Nein";"Nein";"Strom"
173000;141,861761426979;16;"Ja";"Ja";"Gas"
105000;84,726867335563;20;"Nein";"Nein";"Strom"
122500;109,996283909327;18;"Nein";"Nein";"Strom"
191000;159,698996655518;26;"Nein";"Ja";"Strom"
149000;100,334448160535;19;"Nein";"Ja";"Strom"
205000;196,767001114827;16;"Nein";"Ja";"Strom"
225000;234,764028242289;16;"Nein";"Nein";"Strom"
210000;147,900408769974;15;"Nein";"Ja";"Gas"
188900;120,215533259012;18;"Nein";"Nein";"Strom"
192000;183,389074693423;33;"Nein";"Ja";"Gas"
137500;91,7874396135266;17;"Nein";"Ja";"Strom"
200000;140,096618357488;20;"Nein";"Ja";"Gas"
126000;84,3552582683018;17;"Nein";"Nein";"Strom"
214500;177,443329617243;20;"Nein";"Ja";"Strom"
152000;84,726867335563;18;"Nein";"Nein";"Strom"
115000;84,726867335563;20;"Nein";"Nein";"Strom"
88000;91,7874396135266;19;"Nein";"Nein";"Strom"
170000;162,393162393162;20;"Nein";"Nein";"Strom"
137000;84,726867335563;18;"Nein";"Ja";"Strom"
145000;128,669639539205;17;"Nein";"Nein";"Strom"
202000;120,772946859903;15;"Nein";"Nein";"Gas"
130000;84,3552582683018;17;"Nein";"Nein";"Strom"
265000;176,51430694909;25;"Nein";"Nein";"Strom"
185000;203,548866592345;16;"Nein";"Ja";"Strom"
130000;100,334448160535;25;"Ja";"Ja";"Gas"
190000;120,772946859903;15;"Ja";"Ja";"Gas"
204000;228,353771832033;1;"Nein";"Ja";"Gas"
125000;96,6183574879227;22;"Nein";"Nein";"Strom"
349900;268,115942028986;0;"Nein";"Ja";"Gas"
142000;170,940170940171;8;"Nein";"Nein";"Gas"
132500;184,689706428837;19;"Nein";"Nein";"Strom"
220000;62,4303232998885;43;"Nein";"Nein";"Oel"
160000;140,468227424749;13;"Nein";"Nein";"Oel"
156900;151,895206243032;52;"Nein";"Nein";"Oel"
138000;155,332590115199;39;"Nein";"Nein";"Gas"
166000;175,771088814567;26;"Ja";"Ja";"Gas"
195000;153,474544778893;18;"Nein";"Ja";"Gas"
295600;233,463396506875;21;"Ja";"Ja";"Gas"
460000;309,921962095875;1;"Ja";"Ja";"Gas"
126000;120,958751393534;17;"Ja";"Ja";"Gas"
220300;186,361947231512;16;"Ja";"Ja";"Gas"
175000;170,56856187291;27;"Ja";"Ja";"Gas"
255000;185,247120029729;49;"Nein";"Ja";"Oel"
185000;153,474544778893;19;"Nein";"Ja";"Gas"
234000;175,399479747306;8;"Nein";"Ja";"Gas"
133500;137,495354886659;19;"Ja";"Ja";"Gas"
151000;114,641397250093;19;"Nein";"Ja";"Strom"
157500;165,180230397622;31;"Nein";"Ja";"Gas"
285000;233,55629877369;23;"Ja";"Ja";"Gas"
217500;250,836120401338;35;"Nein";"Ja";"Gas"
300000;216,462281679673;21;"Ja";"Ja";"Gas"
161225;248,60646599777;33;"Nein";"Ja";"Gas"
217000;202,526941657376;25;"Ja";"Ja";"Strom"
250000;212,188777406169;21;"Ja";"Ja";"Gas"
124000;122,073578595318;19;"Nein";"Nein";"Strom"
248000;222,593831289483;35;"Nein";"Ja";"Gas"
187000;193,979933110368;45;"Nein";"Ja";"Gas"
195000;214,604236343367;39;"Nein";"Ja";"Gas"
239900;189,520624303233;19;"Ja";"Ja";"Gas"
475000;241,452991452991;19;"Ja";"Ja";"Strom"
246000;158,119658119658;16;"Nein";"Ja";"Gas"
219900;197,417316982534;18;"Nein";"Ja";"Gas"
193500;214,604236343367;38;"Nein";"Ja";"Gas"
122000;132,943143812709;31;"Ja";"Nein";"Gas"
118000;85,8416945373467;20;"Nein";"Nein";"Gas"
125000;167,131178000743;126;"Nein";"Ja";"Gas"
101000;90,6726124117428;23;"Nein";"Nein";"Strom"
249000;205,964325529543;19;"Ja";"Ja";"Gas"
180000;182,924563359346;102;"Nein";"Ja";"Oel"
292500;220,735785953177;19;"Ja";"Ja";"Gas"
199500;147,250092902267;18;"Nein";"Ja";"Gas"
205100;134,986993682646;32;"Nein";"Ja";"Gas"
330000;276,198439241918;12;"Ja";"Ja";"Oel"
179000;149,75845410628;37;"Nein";"Ja";"Gas"
342000;253,994797473058;4;"Ja";"Ja";"Gas"
145000;137,402452619844;22;"Ja";"Ja";"Strom"
66000;87,7926421404682;19;"Ja";"Nein";"Strom"
269900;180,044593088071;25;"Nein";"Ja";"Gas"
154000;126,718691936083;174;"Nein";"Ja";"Oel"
454900;301,189149015236;2;"Ja";"Ja";"Gas"
249900;145,949461166852;23;"Ja";"Ja";"Gas"
165000;122,073578595318;21;"Ja";"Ja";"Strom"
329000;224,173169825344;3;"Ja";"Ja";"Gas"
49387;83,6120401337793;56;"Nein";"Ja";"Oel"
445000;293,292456335935;0;"Ja";"Ja";"Gas"
73000;84,3552582683018;102;"Nein";"Ja";"Oel"
125000;85,8416945373467;20;"Nein";"Nein";"Strom"
146500;105,722779635823;18;"Ja";"Ja";"Strom"
209000;214,604236343367;38;"Nein";"Ja";"Gas"
